102002 - 0 for period 24 to 24
102002,24, Stock Adjustment,5812,04/01/2011,,566858.616,F721111 x -1520 @ 372.9333 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,367445.208,F721120 x -14892 @ 24.6740 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,999000,F721322 x -9990 @ 100.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,5000,F721323 x -100 @ 50.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,340609.5,F722200 x -55000 @ 6.1929 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,588367.1952,F722210 x -621 @ 947.4512 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,6400800,F722220 x -9144 @ 700.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,34196.792,F722400 x -560 @ 61.0657 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1344929.131,F731000 x -53690 @ 25.0499 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,374000,F731100 x -680 @ 550.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,559383.1524,F731111 x -1179 @ 474.4556 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,141264.8762,F731121 x -289 @ 488.8058 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1113333.222,F731210 x -2004 @ 555.5555 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,3264832.1634,F731220 x -143322 @ 22.7797 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,2851200,F731221 x -3564 @ 800.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1416285.1971,F731230 x -48359 @ 29.2869 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,746429.7903,F731231 x -1217 @ 613.3359 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,112000,F731232 x -112 @ 1000.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,3307763.128,F732330 x -2710 @ 1220.5768 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,215800,F732331 x -166 @ 1300.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,801720,F734200 x -6681 @ 120.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1880758.748,F735100 x -55880 @ 33.6571 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,5700,,F735110 x 6 @ 950.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,720298.152,F735200 x -1680 @ 428.7489 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,170389.5672,F736100 x -12856 @ 13.2537 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,8227800,F736110 x -13713 @ 600.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,758649.1344,F737100 x -12944 @ 58.6101 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,609279.008,,F737110 x 832 @ 732.3065 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,359588.94,F738100 x -600 @ 599.3149 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1048516.3536,F738110 x -32636 @ 32.1276 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,222953.4288,F738111 x -216 @ 1032.1918 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,43330,F739200 x -4000 @ 10.8325 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,411600,F742000 x -98 @ 4200.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,255000,F742001 x -1020 @ 250.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,910179.9,F744000 x -9000 @ 101.1311 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1004.878,F747000 x -1 @ 1004.8780 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1032559.5,H101110 x -145000 @ 7.1211 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,23052,H102100 x -8000 @ 2.8815 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,12390,H102300 x -21 @ 590.0000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,8773.9227,,H102301 x 153 @ 57.3459 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1035145.0248,IV0024 x -1361 @ 760.5768 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,1002653.8385,J111110 x -199 @ 5038.4615 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,445606.72,J112100 x -320 @ 1392.5210 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,3450,K131220 x -500 @ 6.9000 - Inventory Check,
102002,24, Stock Adjustment,5812,04/01/2011,,29934.24,K131320 x -700 @ 42.7632 - Inventory Check,
