A111200, 81
A111201, 627
A111400, 112
A112300, 9
A121000, 148
A121100, 113
A122000, 137
A122100, 13
A122101, 388
A122110, 4
A122111, 2
A122113, 800
A122114, 250
A131100, 3490
A133100, 1471
A133101, 39
A133110, 9960
A141100, 58
A142400, 106
A143100, 169
B00002, 165
B00003, 150
B00004, 690
B00005, 85
B0001, 127
B0007, 20
B0009, 60
B0011, 20
B0012, 30
B0013, 20
B0024, 40
B0030, 60
B0031, 20
B211000, 17758
B212000, 150047
B212100, 2592
B212101, 464
B212102, 1110
B213000, 1350
B225000, 1136
B225001, 21008
B22600, 580
B231200, 4756
B231201, -9759
B231202, 4384
B231300, 10680
B231400, 1448
B231500, 396
B241000, 780
BG0002, 5797.75
BG0003, 7201
BG0004, 6755
BG0005, 131372
BG0006, 1729
BG0007, 22619
BN0001, 9041
BN00010, 57292
BN00011, 9069
BN00013, 415
BN00015, 75
BN00019, 26
BN0002, 7772
BN00021, 1300
BN0003, 9641
BN0004, 7961
BN0005, 1046
BN0006, 2742
BN0007, 1871
BN0009, 10188
BN0015, 765
BN0016, 1120
BN0019, 19
BS0001, 1218
BS00010, 4
BS00011, 28
BS00013, 2
BS00017, 7
BS00019, 3
BS0002, 2080
BS00020, 30
BS00021, 13
BS00023, 1
BS00025, -2
BS00027, 4
BS00029, 32
BS0003, 1639
BS00031, 22
BS00032, 31
BS00034, 2
BS00036, 4
BS0004, 4039
BS00040, 18
BS00041, 12
BS00042, 28
BS00044, 10
BS00045, 41
BS00050, 33
BS00052, 6
BS00053, 5
BS00054, 12
BS00055, 14
BS00059, 15
BS0006, 488
BS00060, 13
BS00061, 12
BS0007, 523
BS0008, 388
BS0009, 493
C313100, 1000
CB, 14
CF0004, 398
CL0001, 200
CL0004, 100
CLOOO3, 500
CTCF0001, 1
D412100, 28319
D412101, 1744
D412102, 50
D412110, 6
D412200, 338
D412210, 15536
D421000, 2262
D421100, 17169
D422000, 768
D423000, 48571
D431000, 682
DDP004, 17
DDP011, 41
DIS001, 21.05
DIS003, 2
DIS004, -80.65
DIS005, -0.1
DIS006, 10
DIS009, 7
DIS010, 649.38
E00001, 2
E00002, 2
E00004, 20
E00005, 943
E00006, 1
E00009, 18
E00010, 14
E00011, 1
E0005, 12
E00052, 3
E00053, 5
E00054, 101
E00055, 60
E610000, 99570
E610001, 4639
E611000, 122
E660000, 14804
E661000, 399
E670000, 4900.499999
F00001, 1320.75
F00002, 313
F00003, 254.5
F00004, 0.5
F00006, 991.5
F00007, 300
F00009, 430
F00010, 1
F00011, 12
F000123, 1
F00014, 130
F00015, 2
F000152, 2
F000153, 20
F00018, 226.5
F00019, 4
F00020, 17
F00021, 3
F00025, 9
F00026, 12.5
F00027, 14
F00029, 7
F00031, 1
F00032, 3
F00035, 10
F00037, 460
F00041, 108
F00042, 24
F00043, 48
F00044, 96
F00046, 72
F00048, 120
F00061, 1
F00062, 11
F00090, 1
F00159, 1
F0028, 24
F0061, 15
F0062, 24
F711200, 21722
F711201, 1614
F711300, 100
F711400, 186
F721100, 779
F721110, 1667
F721111, 355
F721120, 5698
F721323, 300
F721324, 94
F722200, 80749
F722210, 945
F722220, -37
F722400, 2443
F731000, 58516
F731100, 257
F731111, 4521
F731121, 497
F731210, 2373.5
F731211, 3379
F731212, 1906
F731213, 5293
F731220, 34955
F731221, 435
F731222, 89
F731223, 50
F731230, 72050.25
F731231, 3822.75
F731232, 666
F732330, 4875
F732332, 5224
F734200, 6973
F735100, 84988
F735110, 328
F735200, 1626
F736100, 41865
F736110, 852
F737100, 35713
F737110, 667
F738100, 1078
F738110, 14673
F738111, 291
F739200, 10563
F742000, 184
F742001, -70
F744000, 11458
F744001, 84
F747000, 123
F747001, 44
F752100, 189
F752101, 144
F752103, 24
FH0002, 1
FW, 1
G0015, 146
G11, 16
G14, 17
G15, 3
G19, 4
G23, 2
G25, 4
G31, 5
G811305, 2000
GF00002, 11
GF00008, 20
GF00009, 2
GF00018, 3
GF00021, 10
GF00025, 212
GF00028, 0.5
GF00034, 13
GF00054, 57.5
GF00055, 296
GF00057, 24
GF00070, 4
GF00080, 250
GF00102, 10
GF00105, 12
GF00138, 42
GF00139, 42
GF0045, 0.5
GFX001, 3
GX, 4
GX002, 1
GX1, 1
GX15, 20
GXB1, 3
GXB2, 1
GXB3, 2
GXB4, 2
GXB5, 2
GXX, 4
H101110, 133586
H101111, -2000
H101112, 50
H102100, 12050
H102301, 3850
IT0001, 2
IT0003, 1
IT017, 5
IT15, 1
IV0001, 150
IV0002, 170
IV0003, 20.5
IV0004, 2
IV0005, 2
IV0006, 3
IV0007, 1
IV0008, 2
IV0009, 4914
IV0011, 1
IV0012, 35000
IV0015, 1
IV0016, 10
IV0017, 1
IV0018, 66
IV0020, 1000
IV0021, 829
IV0022, 4
IV0023, 1
IV0024, 1104
IV0025, -2
