A111200, 310
A111400, 60
A112300, 4
A121000, 35
A121100, -40
A122000, 235
A122100, 179
A122101, -320
A122110, 7
A122111, 11
A122112, 328
A131100, 1673
A133100, -1846
A133110, -992
A141100, 335
A142400, 50
A143100, 170
B00002, 189
B00004, -421
B0001, 50
B211000, 42672
B212000, -2938
B212100, -500
B224000, -1700
B225000, 60
B225001, -1454
B22600, 500
B231200, 25537
B231300, 26292
B231400, -11738
B241000, 3900
BG0001, -25
BG0002, -18743
BG0003, -22097
BG0004, -8629
BG0005, 75461
BG0006, 11349
BG0007, -200
BN0001, 156
BN00010, -2050
BN00011, 850
BN0002, 1903
BN0003, -6115
BN0004, 49850
BN0005, -10
BN0006, -9400
BN0007, -6610
BN0008, -790
BN0009, -7170
BS0001, -40
BS00010, -17
BS00011, -11
BS00015, -9
BS00018, -4
BS0002, -120
BS00022, 2
BS00023, 46
BS00024, 5
BS0004, -110
BS0005, 600
BS0006, -100
BS0007, 1000
BS0009, -1310
CTCF0001, 960
D412100, 39272
D412101, 500
D412110, -41
D412200, 32
D412210, 400
D421000, -475
D421100, 740
D422000, -623
D423000, 13080
D431000, 166
DDP001, 5
DDP003, -2250
DDP006, -298
DDP010, 5
DDP011, 5
DDP012, 2
DIS001, -5
DIS002, -1800
DIS004, -359
DIS006, 5
E00001, 18
E00004, -120
E00007, 500
E610000, 58652
E660000, 3700
E661000, -767
F00001, -424
F000018, 261
F00002, 99
F00003, 98
F00011, 19
F00012, 30
F00014, -1690
F00015, -1
F00016, 114
F00017, 74
F00018, 11
F00021, 1
F00025, 17
F00026, 20
F00027, 15
F00029, 24
F00031, 21
F00033, 1
F00034, 3
F00036, 10
F00040, 10
F00061, 3
F711200, 13143
F711201, -400
F711400, -200
F721100, 1327
F721110, 80700
F721111, -315
F721120, 24957
F721200, 3000
F721600, 194
F722200, 73660
F722210, -306
F722220, -2808
F722400, 1420
F731000, 52025
F731100, -159
F731111, -504
F731121, -177
F731160, -1249
F731161, -20495
F731162, -5
F731180, -489
F731210, 6807
F731220, 340835
F731221, -962
F731230, 90142
F731231, -270
F731232, -225
F732330, -2624
F732331, -233
F734200, 6742
F735100, 38999
F735110, -1740
F735200, 1457
F736100, 60223
F736110, 63
F737100, 55426
F737110, 80
F738100, 3425
F738110, 69907
F738111, 579
F739200, 13758
F742000, -394
F742001, 118
F744000, 66
F747000, -437
F747001, -585
F752100, -613
F752101, -103
G811300, 9
G811301, 10
G811302, 100
G811303, 4
GF00001, -1
GF00010, -226
GF00011, -4
GF00025, 75
GF00054, 4
GF00055, 25
GF00056, -79
H101100, 168740
H101110, -58200
H102100, 3000
H102300, -1000
H102301, 1612
IV0001, -2
IV00019, 25
IV0002, 100
IV0003, 10
IV0005, 10
IV0007, -100
IV0009, 8594
IV0010, 525
IV0012, 20000
IV0014, -1
IV0016, 5
IV0017, 1
IV0018, 18
IV0020, 24
IV0021, 24
J111110, -100
J112100, -925
JIS001, -25
K131220, -1100
K131321, 840
K132210, -756
K133110, 2454
K133310, 2440
K133420, 2600
K133421, -21
K133610, 50558
K134120, 1976
K134220, 602
K134422, 21640
K135320, 2100
L00002, 3
L00003, -94
L00004, 1
L00006, -100
L00007, -91
L00008, -6
L00009, -5
L00012, -2061
L00013, -4
L00015, -1402
L00017, -4
L00020, -320
L00021, -489
L00022, 24
L00023, 20
L00026, 3997
L00027, -4
L00034, 1
L00035, -1
L00037, -407
L00039, -203
L00040, -14
L00043, 5695
L00044, -202
L00045, -175
L00046, 20
L00048, 24
L00049, -1
L00052, -2
L00061, 1
L00062, 1
L00063, 2
L00064, 1
L00065, 2
L00069, 1
L00070, 1
L00071, 1
L00072, 1
L00073, 1
L00074, 2
L00075, 1
L00076, 1
L00080, -1000
L00081, 1
L00082, 1
L00083, 1
L00084, 1
L00085, 6
L141110, 168
L141140, 200
L142700, 459
L142710, 581
L143200, 783
L143210, 7116
L143300, -100
L144320, -67
M151110, -2820
M151111, -1410
M151210, 1122
M151310, 22096
M152400, 4830
M152410, 155
M153500, 2000
M154210, 9990
M155100, 400
M156100, 388
M156200, 125
N161100, -100
N161210, 201
N162110, -100
N162120, 1800
N162210, 3185
NSF00001, -205
P181100, -512
P182100, 2000
P182200, -8
P196211, 120
P196212, -7
Q202220, 205
R211100, 226
R211110, 925
R211111, 700
R211130, -860
R211160, 195
R211170, 37
R21214, -40
R212200, -280
R212210, 305
R212211, 171
R212212, 380
R212213, 40
R212300, 230
R212500, 250
R213100, 40
R214110, 20
R214111, 40
R214210, 37
R214410, 2300
R215100, -60
R221110, 246
R222210, -20
R222211, 10
R223150, 20
R231111, -27
S140001, 1500
SC0001, 376
SC0002, 25
SC0003, 24
SC0005, 118
SC0007, 100
SC0008, 397
SC0009, 96
SC0010, 176
SC0011, 76
SC0012, -163
SC0014, 10
SC0015, 25
SC0016, 750
SC0018, -3
ST0001, -10
ST0004, 1112
ST0005, -89
ST0006, 15
ST0008, 3500
ST00100, 1
ST00101, 1
ST0011, 30
ST0012, 15
ST0014, -137
ST00148, 2
ST00149, 2
ST00150, 50
ST0016, -1
ST0018, 186
ST0019, 634
ST0021, 5726
ST0022, -2
ST0023, -2500
ST0024, -2
ST0026, 2
ST0027, 2
ST0028, 1
ST0030, 890
ST0032, 79
ST0034, 2
ST0035, 3
ST0036, 8500
ST0037, 6800
ST0038, 6000
ST0042, 1
ST0043, 220
ST0044, 540
ST0045, -9
ST0048, 1
ST0049, 10
ST0050, 3
ST0052, 10
ST0053, 7
ST0054, 40
ST0062, -10
ST0067, -3
ST0068, -1
ST0069, 225
ST0070, 3
ST0071, 1950
ST0074, -2000
ST0075, 5
ST0076, 161
ST0077, 10
ST0078, -2
ST0097, 2
ST0098, 2
T00011, -70
T00012, 1000
T00014, -1275
T00015, -1952
T00016, -10473
T00017, -391
T00020, 50
T00026, 650
T00027, -854
T00038, 1100
T00040, 152
T00041, 476
T00042, 39
T00050, 4
T00051, 5
T00052, -675
T00053, 700
T00054, 800
T00055, 1140
T00058, 10
T00059, 10
U231100, -855
U231200, -1879
U232300, 50
U232400, 2
V241111, 8500
V242110, 13446
V242112, 382
V242113, 2000
V242120, 137
V242211, 3350
V251320, 12090
V251321, 854
W00002, 2
W00006, 2
W00009, 2
W00035, -2
W00036, -4
W0005, -4
W0009, 4
W00128, -2
W00202, -1
W00209, -7
W00210, -6
W0032, -1002
W0034, -6
W01001, 7
W01003, 54
W01004, 80
W01005, 75
W01006, 171
W01007, 25
W01013, -1000
W0103, 10
W01213, 45
W020042, 10
W02005, 7
W02006, -27
W020060, -1
W020062, -4
W020063, 8
W02007, -14
W02008, 34
W02009, -7
W02010, 31
W02011, -1
W02012, 13
W02013, -1
W02014, -16
W02016, -13
W02017, 29
W02018, -6
W02019, -6
W02020, -1
W02021, 27
W02022, 16
W02023, 27
W02024, -4
W02025, 3
W02033, -6
W02034, 6
W02037, -2
W02040, -2
W02042, 36
W020456, 8
W02046, -12
W02047, -6
W02048, 21
W02049, -1
W02050, -4
W02051, -2
W02052, -3
W02053, -5
W02054, -6
W02055, -36
W02056, -10
W02057, 8
W02058, -1
W02059, 13
W02060, -2
W02067, -5
W02070, 12
W02071, -4
W02074, -13
W02080, -11
W02081, -1
W02083, 147
W02084, 17
W02089, 4
W02094, 19
W02095, 12
W02096, 15
W021010, 15
W021012, -4
W02104, -7
W02105, -3
W02106, -9
W02107, 30
W02109, -6
W02111, -2
W02113, -4
W02126, -2
W02127, 4
W02128, -2
W02137, -3
W02138, 4
W02139, -10
W02144, -1
W02145, -18
W02148, 17
W02152, 4
W02154, -12
W02158, -1
W02179, -5
W02181, -2
W02182, -3
W02183, -3
W02190, -1
W02191, -2
W02192, 8
W02296, -1
W02305, 4
W0252, -2
W02570, 468
W02572, -75
W02580, 109
W02588, 16
W02589, 20
W02590, -6
W02593, -391
W02595, -1
W02596, -8
W02597, 29
W0266, 40
W02671, -5
W02677, -12
W02678, -9
W02679, 4
W02681, 200
W02682, 20
W02683, 7
W02686, 46
W02687, 18
W02688, -32
W02689, 9
W0275, -48
W02896, 16
W02897, 24
W02958, -105
W02984, 13
W030008, 12
W03001, -4
W030060, -1
W03007, 92
W03008, 19
W03009, -11
W03010, -17
W03011, -4
W03012, 14
W03013, -16
W030142, 54
W03015, -41
W03016, 5
W03018, 4
W03020, 57
W03021, -5
W030212, 50
W030213, 3
W030221, 13
W030271, 1
W03028, -400
W030426, -1
W03058, -26
W03062, -3
W03077, -7
W03090, -1
W03116, 1
W03124, 136
W03131, 18
W03188, -16
W03189, -18
W03210, -1
W03250, 2
W03255, -14
W03260, -1
W0327, -6
W0328, 3
W03295, -16
W03296, -10
W0331, -1
W0332, -3
W03337, -1
W03464, 4
W03465, -3
W03885, 9
W03890, 9
W03896, -4
W04009, 126
W04011, 404
W04015, -2
W04020, 23
W04021, 1180
W04022, 120
W04025, 180
W04029, 247
W04036, 6
W04099, -8
W041000, 1125
W041002, -44
W04115, 750
W05001, -5000
W050010, -5
W05007, 13
W05010, -1
W0501008, -2
W05011, -13
W050119, -4
W05014, 38
W05045, -30
W06010, 90
W060102, 4
W07006, 2
W07048, 8
W07053, 2
W07059, 5
W07060, 5
W07061, 29
W07062, 1
W07068, 1
W07069, 1
W0802, 1
W0803, 2
W0804, 1
W10005, 9
W100051, 2
W10007, 65
W10008, 38.75
W10009, 24
W10011, 34.5
W10012, 98
W10019, 146
W10020, 310
W10022, -641
W10023, 17
W10029, -108
W10031, 41
W110012, -2
W110013, -2
W11024, 8
W11025, 30
W11026, -5
W11027, 35
W11061, 17
W11072, 4
W110742, 5
W11080, 3
W11094, -30
W12163, 7
W12336, 2
W2001, 40
W2002, -5
W200451, 2
W20095, 1
W251110, -7300
W251111, 459
W251130, 470
W252220, -10
W28002, 3
W28538, -5
W28546, -6
W28547, -5
W28548, 4879
W302107, -8
W304510, -4
W30456, 1
W30459, -9
W3089, -7
W31043, -3
W320005, -3
W32001004, -31
W320016, 2
W320042, 6
W32008, -2
W3201008, -8
W320101, 9
W320103, 59
W320106, 4
W320124, -2
W320241, 3
W320245, 2
W32025, -3
W32026, 2
W32028, 8
W32031, 13
W32041, -2
W32047, -6
W32048, 7
W32051, -7
W32053, 1
W32057, -3
W32058, -4
W320591, 1
W32061, -2
W32063, -3
W32065, 15
W320678, -1
